,排行,steamid64,Rating SL,总击杀数,总死亡数,总助攻数,总伤害,爆头率,尝试突破次数,突破成功率,5杀次数,4杀次数,3杀次数,道具使用次数,道具成功率,闪光使用次数,闪光成功率
7,1,76561199049186046,2.97,28,9,9,2739,0.54,1,1.0,0,0,1,14,0.21,3,0.33
13,2,76561199211245173,1.54,49,32,13,4666,0.22,6,0.5,0,0,3,10,0.3,22,0.55
11,3,76561199072829349,1.44,96,68,21,10113,0.49,16,0.56,0,1,5,29,0.59,17,0.53
10,4,76561199069561367,1.43,100,72,33,11591,0.42,15,0.67,0,0,8,47,0.53,39,0.44
17,5,76561199465907634,1.42,145,106,42,15057,0.52,45,0.69,0,4,10,38,0.21,42,0.48
14,6,76561199251885855,1.09,104,100,35,12421,0.3,32,0.5,0,0,6,54,0.13,14,0.71
3,7,76561198853894083,1.08,60,59,25,6470,0.38,15,0.53,0,1,3,23,0.57,52,0.58
6,8,76561199036860488,1.06,85,82,36,10177,0.58,37,0.35,0,0,5,32,0.47,20,0.15
9,9,76561199059595941,1.04,41,42,18,4325,0.34,19,0.42,0,1,1,11,0.36,11,0.82
2,9,76561198831295842,1.04,38,39,10,4092,0.66,14,0.29,0,1,2,3,0.33,21,0.62
19,11,76561199470595903,1.02,91,91,20,9442,0.3,23,0.7,0,0,4,46,0.24,14,0.43
15,12,76561199386518510,0.93,73,83,14,7648,0.4,30,0.43,0,1,4,39,0.41,44,0.39
16,13,76561199436311447,0.92,87,96,21,9620,0.34,19,0.53,1,0,2,55,0.27,56,0.36
4,14,76561198868373496,0.88,30,37,16,3722,0.8,11,0.36,0,0,2,9,0.44,21,0.52
8,15,76561199055998680,0.8,31,38,14,3797,0.32,2,0.5,0,0,0,14,0.36,12,0.25
1,16,76561198814454796,0.63,17,27,3,2151,0.41,2,0.5,0,0,0,2,0.5,9,0.33
20,17,76561199597181800,0.61,17,27,3,1910,0.59,5,0.8,0,0,0,9,0.33,0,0.0
18,18,76561199465953247,0.57,60,113,38,7148,0.4,18,0.44,0,0,1,28,0.39,98,0.54
0,19,76561198800592262,0.41,12,29,10,2027,0.25,9,0.44,0,0,0,2,0.5,0,0.0
5,20,76561199030318238,0.4,10,24,1,1381,0.7,8,0.12,0,0,0,10,0.2,0,0.0
12,21,76561199197128611,0.33,9,29,2,851,0.11,5,0.2,0,0,0,4,0.25,7,0.43
