matchid,mapnumber,steamid64,team,name,kills,deaths,damage,assists,enemy5ks,enemy4ks,enemy3ks,enemy2ks,utility_count,utility_damage,utility_successes,utility_enemies,flash_count,flash_successes,health_points_removed_total,health_points_dealt_total,shots_fired_total,shots_on_target_total,v1_count,v1_wins,v2_count,v2_wins,entry_count,entry_wins,equipment_value,money_saved,kill_reward,live_time,head_shot_kills,cash_earned,enemies_flashed
22,0,76561198982005015,Spectator,Crad1es,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,76561199814880532,Spectator,SAL observer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,76561199465907634,team_Truth,Truth,29,24,2999,9,0,0,1,7,8,11,1,1,5,2,2593,2999,394,97,1,1,0,0,12,9,117700,0,9300,1014,18,101150,2
22,0,76561199251885855,team_Truth,Roséar9,28,22,2794,6,0,0,0,10,13,0,0,0,2,1,2440,2794,354,101,1,1,3,0,4,3,124450,0,8400,1116,5,111100,1
22,0,76561199470595903,team_Truth,1ndulge,18,19,1829,4,0,0,0,4,6,7,1,2,0,0,2260,1829,310,59,0,0,1,1,8,4,129150,0,5400,993,7,100700,0
22,0,76561199465953247,team_Truth,pr1vacy,15,22,1835,7,0,0,0,2,2,76,1,1,10,8,2415,1835,474,64,1,0,1,0,1,0,119300,0,4500,1130,8,102200,9
22,0,76561199436311447,team_Truth,NezAr,11,23,1507,6,0,0,0,1,5,64,2,4,4,1,2217,1507,309,39,1,0,1,0,2,2,136050,0,2500,1073,3,97100,1
22,0,76561199069561367,team_XFK,Loong,32,19,3501,5,0,0,3,7,11,110,3,4,10,3,1959,3501,511,123,2,0,2,1,1,1,121850,0,9900,1018,9,91450,3
22,0,76561199072829349,team_XFK,Huoreee,27,23,3242,11,0,1,1,6,10,248,5,13,4,4,2435,3242,421,111,0,0,1,1,5,4,118350,0,9000,1129,15,102500,7
22,0,76561198853894083,team_XFK,XFK,22,18,2131,8,0,0,1,5,1,48,0,0,23,14,1928,2131,339,86,1,0,1,0,4,1,119500,0,8100,969,7,100550,27
22,0,76561199386518510,team_XFK,Tino,15,19,1719,3,0,0,3,0,3,40,1,1,9,4,2201,1719,220,40,0,0,0,0,8,3,128200,0,3500,892,6,91900,6
22,0,76561199036860488,team_XFK,Cherryand,11,23,1332,7,0,0,0,3,3,7,0,0,7,0,2441,1332,219,49,0,0,0,0,9,0,108000,0,3900,872,5,118050,0
