player1,76561199049186046
player2,76561199211245173
player3,76561199072829349
player4,76561199069561367
player5,76561199465907634
player6,76561199251885855
player7,76561198853894083
player8,76561199036860488
player9,76561199059595941
player10,76561198831295842
player11,76561199470595903
player12,76561199386518510
player13,76561199436311447
player14,76561198868373496
player15,76561199055998680
player16,76561198814454796
player17,76561199597181800
player18,76561199465953247
player19,76561198800592262
player20,76561199030318238
player21,76561199197128611
